corpus,split,song_id,mix_path,midi_path,n_stems,duration_sec
slakh,train,Track00001,/deepfreeze/share/pnlong/slakh2100_flac_redux/train/Track00001/mix.flac,/deepfreeze/share/pnlong/slakh2100_flac_redux/train/Track00001/all_src.mid,10,241.5571882086168
slakh,train,Track00002,/deepfreeze/share/pnlong/slakh2100_flac_redux/train/Track00002/mix.flac,/deepfreeze/share/pnlong/slakh2100_flac_redux/train/Track00002/all_src.mid,10,190.38040816326532
slakh,train,Track00003,/deepfreeze/share/pnlong/slakh2100_flac_redux/train/Track00003/mix.flac,/deepfreeze/share/pnlong/slakh2100_flac_redux/train/Track00003/all_src.mid,8,218.72036281179138
slakh,train,Track00004,/deepfreeze/share/pnlong/slakh2100_flac_redux/train/Track00004/mix.flac,/deepfreeze/share/pnlong/slakh2100_flac_redux/train/Track00004/all_src.mid,9,232.59428571428572
slakh,train,Track00005,/deepfreeze/share/pnlong/slakh2100_flac_redux/train/Track00005/mix.flac,/deepfreeze/share/pnlong/slakh2100_flac_redux/train/Track00005/all_src.mid,13,247.15319727891156
slakh,train,Track00006,/deepfreeze/share/pnlong/slakh2100_flac_redux/train/Track00006/mix.flac,/deepfreeze/share/pnlong/slakh2100_flac_redux/train/Track00006/all_src.mid,15,246.35210884353742
slakh,train,Track00007,/deepfreeze/share/pnlong/slakh2100_flac_redux/train/Track00007/mix.flac,/deepfreeze/share/pnlong/slakh2100_flac_redux/train/Track00007/all_src.mid,10,246.862947845805
slakh,train,Track00008,/deepfreeze/share/pnlong/slakh2100_flac_redux/train/Track00008/mix.flac,/deepfreeze/share/pnlong/slakh2100_flac_redux/train/Track00008/all_src.mid,7,259.6223129251701
slakh,train,Track00009,/deepfreeze/share/pnlong/slakh2100_flac_redux/train/Track00009/mix.flac,/deepfreeze/share/pnlong/slakh2100_flac_redux/train/Track00009/all_src.mid,11,160.62403628117914
slakh,train,Track00010,/deepfreeze/share/pnlong/slakh2100_flac_redux/train/Track00010/mix.flac,/deepfreeze/share/pnlong/slakh2100_flac_redux/train/Track00010/all_src.mid,7,181.89351473922903
slakh,train,Track00011,/deepfreeze/share/pnlong/slakh2100_flac_redux/train/Track00011/mix.flac,/deepfreeze/share/pnlong/slakh2100_flac_redux/train/Track00011/all_src.mid,9,197.92689342403628
slakh,train,Track00012,/deepfreeze/share/pnlong/slakh2100_flac_redux/train/Track00012/mix.flac,/deepfreeze/share/pnlong/slakh2100_flac_redux/train/Track00012/all_src.mid,12,307.74566893424037
slakh,train,Track00013,/deepfreeze/share/pnlong/slakh2100_flac_redux/train/Track00013/mix.flac,/deepfreeze/share/pnlong/slakh2100_flac_redux/train/Track00013/all_src.mid,8,222.19174603174602
slakh,train,Track00014,/deepfreeze/share/pnlong/slakh2100_flac_redux/train/Track00014/mix.flac,/deepfreeze/share/pnlong/slakh2100_flac_redux/train/Track00014/all_src.mid,11,274.1812244897959
slakh,train,Track00015,/deepfreeze/share/pnlong/slakh2100_flac_redux/train/Track00015/mix.flac,/deepfreeze/share/pnlong/slakh2100_flac_redux/train/Track00015/all_src.mid,6,246.93260770975056
slakh,train,Track00016,/deepfreeze/share/pnlong/slakh2100_flac_redux/train/Track00016/mix.flac,/deepfreeze/share/pnlong/slakh2100_flac_redux/train/Track00016/all_src.mid,13,202.71020408163264
slakh,train,Track00017,/deepfreeze/share/pnlong/slakh2100_flac_redux/train/Track00017/mix.flac,/deepfreeze/share/pnlong/slakh2100_flac_redux/train/Track00017/all_src.mid,10,313.74802721088435
