corpus,split,song_id,mix_path,midi_path,n_stems,duration_sec
spdmx,train,1/46/Qmbu3WDDhaiAZ8iULT96GSGKvvpRNryUDbeMRojE1oc44N,./chunk_44/1/46/Qmbu3WDDhaiAZ8iULT96GSGKvvpRNryUDbeMRojE1oc44N/mix.flac,./chunk_44/1/46/Qmbu3WDDhaiAZ8iULT96GSGKvvpRNryUDbeMRojE1oc44N/mix.mid,4,69.00390022675737
spdmx,train,1/12/QmbB3CgUdtDukURmBZ84tw81BhtENuEymjJAkpEzXNnq1B,./chunk_46/1/12/QmbB3CgUdtDukURmBZ84tw81BhtENuEymjJAkpEzXNnq1B/mix.flac,./chunk_46/1/12/QmbB3CgUdtDukURmBZ84tw81BhtENuEymjJAkpEzXNnq1B/mix.mid,2,34.824126984126984
spdmx,train,7/55/QmPYHv48euNbgH3B2WeK3DT5A4zpfi8RHNJkicy2LrHZZf,./chunk_9/7/55/QmPYHv48euNbgH3B2WeK3DT5A4zpfi8RHNJkicy2LrHZZf/mix.flac,./chunk_9/7/55/QmPYHv48euNbgH3B2WeK3DT5A4zpfi8RHNJkicy2LrHZZf/mix.mid,2,19.00408163265306
spdmx,train,7/25/QmPiHyrnUQJ8g4Gh2GCpcL3txoNxeTBXZwxVQpQQTAxq62,./chunk_29/7/25/QmPiHyrnUQJ8g4Gh2GCpcL3txoNxeTBXZwxVQpQQTAxq62/mix.flac,./chunk_29/7/25/QmPiHyrnUQJ8g4Gh2GCpcL3txoNxeTBXZwxVQpQQTAxq62/mix.mid,3,40.20390022675737
spdmx,train,16/26/QmYjKQA91p3xqUJ2owpMASEPtLKanMcDYH76CxhQwzP4VR,./chunk_43/16/26/QmYjKQA91p3xqUJ2owpMASEPtLKanMcDYH76CxhQwzP4VR/mix.flac,./chunk_43/16/26/QmYjKQA91p3xqUJ2owpMASEPtLKanMcDYH76CxhQwzP4VR/mix.mid,3,19.81532879818594
spdmx,train,14/50/QmWwKBrnA3pVBDN3ghKUo2kpfBmMbkvzZLVT4DzNqEYDrm,./chunk_7/14/50/QmWwKBrnA3pVBDN3ghKUo2kpfBmMbkvzZLVT4DzNqEYDrm/mix.flac,./chunk_7/14/50/QmWwKBrnA3pVBDN3ghKUo2kpfBmMbkvzZLVT4DzNqEYDrm/mix.mid,5,177.93451247165532
spdmx,train,9/6/QmR7YjZhYdbk9QyVkeuXKQuGn6EZ6yBHNFTnwQC6Mijqej,./chunk_6/9/6/QmR7YjZhYdbk9QyVkeuXKQuGn6EZ6yBHNFTnwQC6Mijqej/mix.flac,./chunk_6/9/6/QmR7YjZhYdbk9QyVkeuXKQuGn6EZ6yBHNFTnwQC6Mijqej/mix.mid,5,234.44897959183675
spdmx,train,3/46/QmduXUvegK8vaJhc9XZ5TWajpS5Y8mLmnCHLKjudpYGpQC,./chunk_16/3/46/QmduXUvegK8vaJhc9XZ5TWajpS5Y8mLmnCHLKjudpYGpQC/mix.flac,./chunk_16/3/46/QmduXUvegK8vaJhc9XZ5TWajpS5Y8mLmnCHLKjudpYGpQC/mix.mid,2,58.80743764172336
spdmx,train,3/0/Qmd1gicKq3PBpBzxEynNa1cJytJ4XiV6226Df85LHriufh,./chunk_58/3/0/Qmd1gicKq3PBpBzxEynNa1cJytJ4XiV6226Df85LHriufh/mix.flac,./chunk_58/3/0/Qmd1gicKq3PBpBzxEynNa1cJytJ4XiV6226Df85LHriufh/mix.mid,4,132.77315192743765
spdmx,train,16/9/QmYaDY6FNe9USGSkgrju2LumPPFh9miHSx9WkzNEsDa9vd,./chunk_58/16/9/QmYaDY6FNe9USGSkgrju2LumPPFh9miHSx9WkzNEsDa9vd/mix.flac,./chunk_58/16/9/QmYaDY6FNe9USGSkgrju2LumPPFh9miHSx9WkzNEsDa9vd/mix.mid,4,237.96680272108844
spdmx,train,8/19/QmQf5FzWd97rudhuKSZdQcQmkaSqhL17FipG9fUj7nsKcu,./chunk_12/8/19/QmQf5FzWd97rudhuKSZdQcQmkaSqhL17FipG9fUj7nsKcu/mix.flac,./chunk_12/8/19/QmQf5FzWd97rudhuKSZdQcQmkaSqhL17FipG9fUj7nsKcu/mix.mid,2,32.00290249433107
spdmx,train,10/23/QmShgVZAZJSDEGiCEoZsU8oNmrq1fTj9FfzvC3RsM6ENQo,./chunk_41/10/23/QmShgVZAZJSDEGiCEoZsU8oNmrq1fTj9FfzvC3RsM6ENQo/mix.flac,./chunk_41/10/23/QmShgVZAZJSDEGiCEoZsU8oNmrq1fTj9FfzvC3RsM6ENQo/mix.mid,2,220.69115646258504
spdmx,train,14/47/QmWUeYNABZzh3H8qqWj8BvAKRqE1HLYd8m8ErTevDPeYhB,./chunk_50/14/47/QmWUeYNABZzh3H8qqWj8BvAKRqE1HLYd8m8ErTevDPeYhB/mix.flac,./chunk_50/14/47/QmWUeYNABZzh3H8qqWj8BvAKRqE1HLYd8m8ErTevDPeYhB/mix.mid,2,55.9136507936508
spdmx,train,1/15/Qmbd1DFcBYW5gt15qkBvsWtTox8LzkFffSAmqjx7WuqcWJ,./chunk_58/1/15/Qmbd1DFcBYW5gt15qkBvsWtTox8LzkFffSAmqjx7WuqcWJ/mix.flac,./chunk_58/1/15/Qmbd1DFcBYW5gt15qkBvsWtTox8LzkFffSAmqjx7WuqcWJ/mix.mid,2,78.30349206349206
spdmx,train,6/55/QmNYEMzzGfhUuZHkD6upfBpkKie4WdZGfRKqLvcSaCzfuw,./chunk_3/6/55/QmNYEMzzGfhUuZHkD6upfBpkKie4WdZGfRKqLvcSaCzfuw/mix.flac,./chunk_3/6/55/QmNYEMzzGfhUuZHkD6upfBpkKie4WdZGfRKqLvcSaCzfuw/mix.mid,2,16.99410430839002
spdmx,train,13/19/QmVfQCTf3GgLDzbvhDB4966KX1Frjk2Z1SLztPAyJhS82v,./chunk_63/13/19/QmVfQCTf3GgLDzbvhDB4966KX1Frjk2Z1SLztPAyJhS82v/mix.flac,./chunk_63/13/19/QmVfQCTf3GgLDzbvhDB4966KX1Frjk2Z1SLztPAyJhS82v/mix.mid,2,66.90394557823129
spdmx,train,15/19/QmXf2Mhtc2Z9tmhTDcE3GhCVGkYasXGGY2SHRLnrvLNBQj,./chunk_16/15/19/QmXf2Mhtc2Z9tmhTDcE3GhCVGkYasXGGY2SHRLnrvLNBQj/mix.flac,./chunk_16/15/19/QmXf2Mhtc2Z9tmhTDcE3GhCVGkYasXGGY2SHRLnrvLNBQj/mix.mid,2,33.82131519274376
spdmx,train,6/30/QmNLfYuFaCT8qKPwDT8wiB2EQjMdUSjNsEEVfXHn7MBtdo,./chunk_53/6/30/QmNLfYuFaCT8qKPwDT8wiB2EQjMdUSjNsEEVfXHn7MBtdo/mix.flac,./chunk_53/6/30/QmNLfYuFaCT8qKPwDT8wiB2EQjMdUSjNsEEVfXHn7MBtdo/mix.mid,5,318.62156462585034
